,ticker,date,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities
32,INCY,2012-03-31,231855000.0,4556000.0,236411000.0,13010000.0,3513000.0,276162000.0,6232000.0,0.0,0.0,0.0,17431000.0,293593000.0,13174000.0,0.0,142299000.0,303952000.0,303952000.0,6005000.0,0.0,0.0,391487000.0,542450000.0,1404076000,-1654996000.0,-248857000.0,4556000.0,72097000.0,0.0,8664000.0
33,INCY,2011-12-31,273164000.0,4430000.0,277594000.0,6415000.0,3536000.0,310778000.0,6431000.0,0.0,0.0,0.0,18184000.0,328962000.0,14939000.0,0.0,135614000.0,298193000.0,298193000.0,2332000.0,0.0,0.0,402465000.0,556039000.0,1380725000,-1609570000.0,-227077000.0,4430000.0,25029000.0,0.0,17960000.0
34,INCY,2011-09-30,312328000.0,4647000.0,316975000.0,2462000.0,0.0,346418000.0,6077000.0,0.0,0.0,0.0,24806000.0,371224000.0,11038000.0,0.0,120957000.0,292566000.0,292566000.0,66973000.0,0.0,0.0,413576000.0,552244000.0,1371524000,-1554491000.0,-181020000.0,4647000.0,-19762000.0,0.0,17711000.0
35,INCY,2011-06-30,359074000.0,5036000.0,364110000.0,2376000.0,0.0,391923000.0,5500000.0,0.0,0.0,0.0,24740000.0,416663000.0,8788000.0,0.0,110667000.0,287067000.0,287067000.0,66976000.0,0.0,0.0,424813000.0,552947000.0,1363052000,-1501413000.0,-136284000.0,5036000.0,-72007000.0,0.0,17467000.0
36,INCY,2011-03-31,377843000.0,5783000.0,383626000.0,16579000.0,0.0,425968000.0,4934000.0,0.0,0.0,0.0,33638000.0,459606000.0,7791000.0,0.0,110182000.0,281694000.0,281694000.0,66978000.0,0.0,0.0,436177000.0,563584000.0,1343351000,-1449542000.0,-103978000.0,5783000.0,-96149000.0,0.0,17225000.0
37,INCY,2010-12-31,455788000.0,6256000.0,462044000.0,5701000.0,0.0,455454000.0,4804000.0,10432000.0,0.0,0.0,34127000.0,489581000.0,10773000.0,0.0,113573000.0,293432000.0,293432000.0,238193000.0,0.0,0.0,464652000.0,578225000.0,1986000.0,-1423030000.0,-88644000.0,6256000.0,-168612000.0,-12291000.0,102800000.0
38,INCY,2010-09-30,436172000.0,6781000.0,442953000.0,4735000.0,0.0,422545000.0,2385000.0,0.0,0.0,0.0,42095000.0,464640000.0,7750000.0,0.0,117522000.0,288068000.0,288068000.0,254938000.0,0.0,0.0,476026000.0,593548000.0,1930000.0,-1455571000.0,-128908000.0,6781000.0,-154885000.0,-25143000.0,109772000.0
39,INCY,2010-06-30,461335000.0,8102000.0,469437000.0,6360000.0,0.0,451293000.0,2159000.0,0.0,0.0,0.0,42388000.0,493681000.0,9158000.0,0.0,110944000.0,282825000.0,282825000.0,271695000.0,0.0,0.0,487520000.0,598464000.0,1795000.0,-1423869000.0,-104783000.0,8102000.0,-186612000.0,-24504000.0,101786000.0
40,INCY,2010-03-31,461238000.0,17494000.0,478732000.0,5253000.0,0.0,450807000.0,1808000.0,0.0,14000.0,0.0,51856000.0,502663000.0,13304000.0,0.0,117944000.0,277700000.0,277700000.0,288452000.0,0.0,0.0,499132000.0,617076000.0,1198000.0,-1426913000.0,-114413000.0,17508000.0,-201032000.0,-33178000.0,104640000.0
41,INCY,2009-12-31,506047000.0,20594000.0,526641000.0,163661000.0,0.0,656055000.0,1752000.0,13879000.0,3513000.0,0.0,56335000.0,712390000.0,20964000.0,0.0,132826000.0,443138000.0,443138000.0,305199000.0,0.0,0.0,681948000.0,814774000.0,707000.0,-1391184000.0,-102384000.0,24107000.0,-83503000.0,-34247000.0,111862000.0
42,INCY,2009-09-30,423645000.0,20767000.0,444412000.0,862000.0,0.0,70159000.0,1981000.0,14641000.0,6914000.0,0.0,627896000.0,472816000.0,14176000.0,0.0,44276000.0,477419000.0,477419000.0,32000.0,0.0,0.0,627896000.0,672172000.0,502000.0,-1302742000.0,-199356000.0,27681000.0,33007000.0,-42617000.0,30100000.0
43,INCY,2009-06-30,114289000.0,26186000.0,140475000.0,807000.0,0.0,12298000.0,2189000.0,3099000.0,7010000.0,0.0,404825000.0,159016000.0,15840000.0,0.0,45621000.0,401225000.0,401225000.0,52000.0,0.0,0.0,404825000.0,450446000.0,-107000.0,-1259385000.0,-291430000.0,33196000.0,260750000.0,5436000.0,29781000.0
0,CTAS,2020-02-29,234441000.0,212800000.0,447241000.0,942853000.0,352924000.0,2497706000.0,1434866000.0,0.0,0.0,23485000.0,5404274000.0,7901980000.0,243248000.0,199800000.0,1066646000.0,2539156000.0,2738956000.0,0.0,0.0,0.0,3511025000.0,4577671000.0,0.0,7151838000.0,3324309000.0,212800000.0,2504515000.0,0.0,0.0
1,CTAS,2019-11-30,226535000.0,218900000.0,445435000.0,949122000.0,348304000.0,2490287000.0,1425584000.0,0.0,0.0,24878000.0,5397050000.0,7887337000.0,254611000.0,199788000.0,1297251000.0,2538606000.0,2738394000.0,0.0,0.0,0.0,3485116000.0,4782367000.0,0.0,6917310000.0,3104970000.0,218900000.0,2511859000.0,0.0,0.0
2,CTAS,2019-08-31,102131000.0,209000000.0,311131000.0,917535000.0,336290000.0,2289818000.0,1422351000.0,0.0,0.0,0.0,5372082000.0,7661900000.0,237242000.0,338776000.0,1122882000.0,2538057000.0,2876833000.0,0.0,9238000.0,0.0,3488312000.0,4611194000.0,0.0,6939240000.0,3050706000.0,209000000.0,2774702000.0,0.0,0.0
3,CTAS,2019-05-31,96645000.0,192300000.0,288945000.0,910120000.0,334589000.0,2236280000.0,1430685000.0,0.0,0.0,7475000.0,5200382000.0,7436662000.0,226020000.0,312264000.0,1127733000.0,2537507000.0,2849771000.0,0.0,0.0,0.0,3306208000.0,4433941000.0,0.0,6691236000.0,3002721000.0,192300000.0,2753126000.0,0.0,0.0
4,CTAS,2019-02-28,80859000.0,191818000.0,272677000.0,878037000.0,339805000.0,2223756000.0,1424063000.0,0.0,0.0,42552000.0,5209917000.0,7433673000.0,214567000.0,217500000.0,994351000.0,2536958000.0,2754458000.0,0.0,0.0,0.0,3259830000.0,4254181000.0,0.0,6465121000.0,3179492000.0,191818000.0,2673599000.0,0.0,0.0
5,CTAS,2018-11-30,88479000.0,183500000.0,271979000.0,904062000.0,321874000.0,2215870000.0,1410530000.0,0.0,0.0,36595000.0,5189213000.0,7405083000.0,211900000.0,173500000.0,1114686000.0,2536408000.0,2709908000.0,0.0,0.0,0.0,3263153000.0,4377839000.0,0.0,6261756000.0,3027244000.0,183500000.0,2621429000.0,0.0,0.0
