,ticker,date,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expense,Operating Expenses,Operating Income,Interest Expense,Earnings before Tax,Income Tax Expense,Net Income - Non-Controlling int,Net Income - Discontinued ops,Net Income,Preferred Dividends,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,Free Cash Flow margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin
4,TTWO,2018-12-31,1248738000.0,1.53464916465,898485000.0,350253000.0,62305000.0,231960000.0,298475000.0,51778000.0,0.0,59849000.0,-120098000.0,0.0,0.0,179947000.0,0.0,179947000.0,1.58,1.57,113390000.0,114918000.0,0.0,0.28048557824,0.165976369743,0.0414642623192,0.144103086476,0.465855928145,207261000.0,51778000.0,179947000.0,0.0479275876925,0.144103086476
5,TTWO,2018-09-30,492667000.0,0.269819218417,234880000.0,257787000.0,60565000.0,161485000.0,231801000.0,25986000.0,95000.0,30961000.0,5594000.0,0.0,0.0,25367000.0,0.0,25367000.0,0.23,0.22,113339000.0,115801000.0,0.0,0.523247954501,0.110482333909,0.052745566478,0.0514891397232,-0.425656680882,54431000.0,25986000.0,25367000.0,0.0628436651937,0.0514891397232
6,TTWO,2018-06-30,387982000.0,-0.138342431497,131365000.0,256617000.0,50712000.0,126041000.0,185771000.0,70846000.0,0.0,77447000.0,5754000.0,0.0,0.0,71693000.0,0.0,71693000.0,0.63,0.62,112941000.0,115985000.0,0.0,0.661414704806,0.241810187071,0.182601254697,0.184784345666,-0.065652530272,93818000.0,70846000.0,71693000.0,0.0,0.184784345666
7,TTWO,2018-03-31,450274000.0,-0.0635679228018,189211000.0,261063000.0,54128000.0,107901000.0,173238000.0,87825000.0,253000.0,91276000.0,423000.0,0.0,0.0,90853000.0,0.0,90853000.0,0.81,0.8,110210000.0,112864000.0,0.0,0.579786974154,0.268876284218,0.195047904165,0.201772698401,0.390391184035,121068000.0,87825000.0,90853000.0,0.202712126394,0.201772698401
8,TTWO,2017-12-31,480840000.0,0.0840423661179,267983000.0,212857000.0,49977000.0,145464000.0,204005000.0,8852000.0,1497000.0,12226000.0,-12914000.0,0.0,0.0,25140000.0,0.0,25140000.0,0.22,0.21,109010000.0,111440000.0,0.0,0.442677397887,0.105760752017,0.0184094501289,0.0522835038682,0.39151276932,50854000.0,8852000.0,25140000.0,0.0254263372432,0.0522835038682
9,TTWO,2017-09-30,443562000.0,0.0606050461962,246548000.0,197014000.0,49999000.0,137738000.0,208333000.0,-11319000.0,9072000.0,-14288000.0,-11552000.0,0.0,0.0,-2736000.0,0.0,-2736000.0,-0.03,-0.03,107232000.0,109356000.0,0.0,0.444163386404,0.0789968482422,-0.0255184168166,-0.00616824705453,0.00692575107877,35040000.0,-11319000.0,-2736000.0,-0.0322119568403,-0.00616824705453
10,TTWO,2017-06-30,418216000.0,-0.268285172407,194569000.0,223647000.0,42269000.0,112817000.0,173428000.0,50219000.0,5845000.0,47411000.0,-12865000.0,0.0,0.0,60276000.0,0.0,60276000.0,0.57,0.56,105494000.0,118782000.0,0.0,0.534764332307,0.214659410448,0.120079097882,0.144126480096,-0.083019301031,89774000.0,50219000.0,60276000.0,0.113364864089,0.144126480096
11,TTWO,2017-03-31,571556000.0,0.199555903482,314900000.0,256656000.0,36421000.0,100354000.0,145153000.0,111503000.0,4721000.0,111111000.0,11831000.0,0.0,0.0,99280000.0,0.0,99280000.0,1.1,1.09,91921000.0,94073000.0,0.0,0.449047862327,0.385988424581,0.195086745656,0.173701264618,0.148767574831,220614000.0,111503000.0,99280000.0,0.1944008986,0.173701264618
12,TTWO,2016-12-31,476473000.0,0.134008620382,311074000.0,165399000.0,37589000.0,148759000.0,193808000.0,-28409000.0,4082000.0,-32123000.0,-2281000.0,0.0,0.0,-29842000.0,0.0,-29842000.0,-0.34,-0.34,86796000.0,86796000.0,0.0,0.347131946616,0.109548704753,-0.0596235253624,-0.0626310410034,0.596728461004,52197000.0,-28409000.0,-29842000.0,-0.0674183007222,-0.0626310410034
13,TTWO,2016-09-30,420167000.0,0.348625590592,205605000.0,214562000.0,30005000.0,129872000.0,167368000.0,47194000.0,4694000.0,40116000.0,3684000.0,0.0,0.0,36432000.0,0.0,36432000.0,0.43,0.43,84990000.0,84990000.0,0.0,0.510658857073,0.200851090162,0.112322005298,0.0867083802393,-0.0181213660283,84391000.0,47194000.0,36432000.0,0.0954763225099,0.0867083802393
14,TTWO,2016-06-30,311552000.0,-0.174053434993,191380000.0,120172000.0,33900000.0,117877000.0,159155000.0,-38983000.0,3961000.0,-42139000.0,-3572000.0,0.0,0.0,-38567000.0,0.0,-38567000.0,-0.46,-0.46,84588000.0,84588000.0,0.0,0.385720521775,0.0510604971241,-0.125125179745,-0.123789929129,-0.165230844289,15908000.0,-38983000.0,-38567000.0,-0.135255109901,-0.123789929129
15,TTWO,2016-03-31,377206000.0,-0.0893605104521,209457000.0,167749000.0,33308000.0,82415000.0,123174000.0,44575000.0,3917000.0,41001000.0,-5398000.0,0.0,0.0,46399000.0,0.0,46399000.0,0.56,0.56,83417000.0,83417000.0,0.0,0.444714559153,0.290870240664,0.118171503104,0.123007057152,0.169087978452,109718000.0,44575000.0,46399000.0,0.108696574286,0.123007057152
16,TTWO,2015-12-31,414221000.0,0.193809910829,257861000.0,156360000.0,27944000.0,108907000.0,215557000.0,-59197000.0,3872000.0,-67215000.0,-24802000.0,0.0,0.0,-42413000.0,0.0,-42413000.0,-0.51,-0.51,83338000.0,83338000.0,0.0,0.377479654581,-0.00730769323622,-0.142911634128,-0.102392201265,0.400807781353,-3027000.0,-59197000.0,-42413000.0,-0.162268450899,-0.102392201265
17,TTWO,2015-09-30,346974000.0,0.260362444923,143940000.0,203034000.0,24413000.0,104837000.0,136603000.0,66431000.0,3829000.0,58035000.0,3300000.0,0.0,0.0,54735000.0,0.0,54735000.0,0.66,0.66,83280000.0,83280000.0,0.0,0.58515623649,0.280286130949,0.191458149602,0.157749572014,-0.266567523791,97252000.0,66431000.0,54735000.0,0.167260371094,0.157749572014
18,TTWO,2015-06-30,275297000.0,-0.0826154907377,202615000.0,72682000.0,34142000.0,94602000.0,135319000.0,-62637000.0,3785000.0,-70171000.0,-3148000.0,0.0,0.0,-67023000.0,0.0,-67023000.0,-0.81,-0.81,82833000.0,82833000.0,0.0,0.264013047727,-0.0955876744026,-0.227525181894,-0.243457066368,0.314979821792,-26315000.0,-62637000.0,-67023000.0,-0.254891989379,-0.243457066368
19,TTWO,2015-03-31,300089000.0,-0.435017048011,410682000.0,-110593000.0,35157000.0,90669000.0,131760000.0,-242353000.0,3743000.0,-249557000.0,-6766000.0,0.0,0.0,-242791000.0,0.0,-242791000.0,-3.02,-3.02,80367000.0,80367000.0,0.0,-0.36853400158,-0.622048792192,-0.807603744223,-0.809063311218,0.464415556718,-186670000.0,-242353000.0,-242791000.0,-0.831609955713,-0.809063311218
20,TTWO,2014-12-31,531147000.0,3.20620540558,278013000.0,253134000.0,31221000.0,150456000.0,187522000.0,65612000.0,3703000.0,54654000.0,14561000.0,0.0,0.0,40093000.0,0.0,40093000.0,0.5,0.5,80128000.0,80128000.0,0.0,0.47657992985,0.295786288918,0.123528891249,0.0754838114496,0.336673275007,157106000.0,65612000.0,40093000.0,0.102898067767,0.0754838114496
21,TTWO,2014-09-30,126277000.0,0.00679290412597,52016000.0,74261000.0,24533000.0,93111000.0,122774000.0,-48513000.0,3326000.0,-37049000.0,4320000.0,0.0,0.0,-41369000.0,0.0,-41369000.0,-0.51,-0.51,79862000.0,79862000.0,0.0,0.588080172953,-0.272915891255,-0.384179225037,-0.327605185426,-0.466973399748,-34463000.0,-48513000.0,-41369000.0,-0.29339467995,-0.327605185426
22,TTWO,2014-06-30,125425000.0,-0.35748022622,54156000.0,71269000.0,24132000.0,76198000.0,104478000.0,-33209000.0,3956000.0,-40928000.0,-5525000.0,0.0,0.0,-35403000.0,0.0,-35403000.0,-0.45,-0.45,79369000.0,79369000.0,0.0,0.568220051824,-0.126713175204,-0.264771775962,-0.282264301375,-0.764664141917,-15893000.0,-33209000.0,-35403000.0,0.0,-0.282264301375
23,TTWO,2014-03-31,195208000.0,-0.895267317607,108288000.0,86920000.0,28632000.0,78350000.0,110504000.0,-23584000.0,3916000.0,-209204000.0,-345000.0,0.0,0.0,-30787000.0,0.0,-30787000.0,-0.23,-0.09,95347000.0,95347000.0,0.0,0.445268636531,-0.00432359329536,-0.120814720708,-0.157713823204,-0.188972788,-844000.0,-23584000.0,-30787000.0,-1.07169788123,-0.157713823204
