,ticker,date,Depreciation & Amortization,Stock-based compensation,Operating Cash Flow,Capital Expenditure,Acquisitions and disposals,Investment purchases and sales,Investing Cash flow,Issuance (repayment) of debt,Issuance (buybacks) of shares,Dividend payments,Financing Cash Flow,Effect of forex changes on cash,Net cash flow / Change in cash,Free Cash Flow,Net Cash/Marketcap
4,NVDA,2015-01-25,248092000.0,157841000.0,905656000.0,0.0,-0.0,-2810611000.0,-727048000.0,-0.0,-813600000.0,-186452000.0,-833541000.0,0.0,-654933000.0,905656000.0,0.0
5,NVDA,2014-01-26,243748000.0,136295000.0,835146000.0,0.0,-17145000.0,-3367558000.0,-805937000.0,-0.0,-887304000.0,-181336000.0,389592000.0,0.0,418801000.0,835146000.0,0.0
6,NVDA,2013-01-27,226235000.0,136662000.0,824172000.0,0.0,-0.0,-661035000.0,-743992000.0,-0.0,-100000000.0,-46866000.0,-15270000.0,0.0,64910000.0,824172000.0,0.0
7,NVDA,2012-01-29,204205000.0,136354000.0,909156000.0,138735000.0,-348884000.0,-654155000.0,-1143364000.0,-0.0,-667876000.0,-0.0,236723000.0,0.0,2515000.0,770421000.0,0.0
8,NVDA,2011-01-30,186989000.0,100353000.0,675797000.0,0.0,-0.0,-549625000.0,-649678000.0,-0.0,177276000.0,-0.0,192021000.0,0.0,218140000.0,675797000.0,0.0
9,NVDA,2010-01-31,196664000.0,107091000.0,487807000.0,0.0,-0.0,-441514000.0,-519333000.0,-0.0,138029000.0,-0.0,61059000.0,0.0,29533000.0,487807000.0,0.0
0,CSCO,2019-07-27,1897000000.0,1570000000.0,15831000000.0,909000000.0,-0.0,-2817000000.0,14837000000.0,-6780000000.0,-20077000000.0,-5979000000.0,-27889000000.0,0.0,2779000000.0,14922000000.0,0.0
1,CSCO,2018-07-28,2192000000.0,1576000000.0,13666000000.0,834000000.0,-3006000000.0,-16063000000.0,15324000000.0,-12375000000.0,-16924000000.0,-6000000000.0,-31764000000.0,0.0,-2774000000.0,12832000000.0,0.0
2,CSCO,2017-07-29,2286000000.0,1526000000.0,13876000000.0,964000000.0,-3324000000.0,-34244000000.0,-5993000000.0,-4151000000.0,-2977000000.0,-5511000000.0,-3806000000.0,0.0,4077000000.0,12912000000.0,0.0
3,CSCO,2016-07-30,2150000000.0,1458000000.0,13570000000.0,1146000000.0,-3161000000.0,-36554000000.0,-8117000000.0,-3863000000.0,-2782000000.0,-4750000000.0,-4699000000.0,0.0,754000000.0,12424000000.0,0.0
